scenario,action,action_name
1,1,TRT
1,2,DOM
1,3,DOM
1,4,DOM
2,1,TRT
2,2,DOM
2,3,DOM
2,4,DOM
3,1,TRT
3,2,DOM
3,3,DOM
3,4,DOM
4,1,TRT
4,2,DOM
4,3,DOM
4,4,DOM
5,1,TRT
5,2,DOM
5,3,DOM
5,4,DOM
6,1,TRT
6,2,DOM
6,3,DOM
6,4,DOM
7,1,TRT
7,2,WLB
7,3,DOM
7,4,DOM
8,1,TRT
8,2,WLB
8,3,DOM
8,4,DOM
9,1,TRT
9,2,CMP\WLB
9,3,DOM
9,4,DOM
10,1,TRT
10,2,CMP\WLB
10,3,DOM
10,4,DOM
11,1,TRT
11,2,CMP\WLB
11,3,DOM
11,4,DOM
12,1,TRT
12,2,CMP\WLB
12,3,DOM
12,4,DOM
13,1,TRT
13,2,DOM
13,3,SLB
13,4,DOM
14,1,TRT
14,2,DOM
14,3,SLB
14,4,DOM
15,1,TRT
15,2,CMP
15,3,SLB
15,4,DOM
16,1,TRT
16,2,CMP
16,3,SLB
16,4,DOM
17,1,TRT
17,2,DOM
17,3,SLB
17,4,DOM
18,1,TRT
18,2,CMP
18,3,SLB
18,4,DOM
19,1,TRT
19,2,DOM
19,3,DOM
19,4,SLB
20,1,TRT
20,2,DOM
20,3,DOM
20,4,SLB
21,1,TRT
21,2,CMP
21,3,DOM
21,4,SLB
22,1,TRT
22,2,CMP
22,3,DOM
22,4,SLB
23,1,TRT
23,2,DOM
23,3,CMP
23,4,SLB
24,1,TRT
24,2,CMP
24,3,CMP
24,4,SLB
