,RoundIndex,VoterID,Util1,Util2,Util3,NumVotes,NumberOfCandidates,Pref1,Pref2,Pref3,VotesCand1PreVote,VotesCand2PreVote,VotesCand3PreVote,PointsPreVote,Vote,GameIndexInSession,SessionIDX,Action,VotesPref1PreVote,VotesPref2PreVote,VotesPref3PreVote,VotesLeader_poll,VotesRunnerup_poll,VotesThird_poll,GAP12_poll,GAP23_poll,GAP13_poll,GAP12_pref_poll,GAP23_pref_poll,GAP13_pref_poll,Pref3_pos,Pos1_pref,Pref2_pos,Pos2_pref,Pref1_pos,Pos3_pref,Scenario,Scenario_type,GAPL1_Pref_poll,GAPL2_Pref_poll,GAPL3_Pref_poll,Pos12,Pos23,Pos13,PosL1,PosL2,PosL3
0,2,hSoUx17quv3acNj,20,10,0,1007,3,1,3,2,325,341,340,0,2,10,1,3,325,340,341,341,340.0,325,1.0,15.0,16,-15,-1,-16,1.0,3.0,2.0,2.0,3.0,1.0,6,CMP,16,1,0,1.0,1.0,2.0,-2.0,-1.0,0.0
1,3,A1VUSW8L7VUX2O,20,10,-2,1007,3,1,3,2,269,378,359,-2,2,4,1,3,269,359,378,378,359.0,269,19.0,90.0,109,-90,-19,-109,1.0,3.0,2.0,2.0,3.0,1.0,6,CMP,109,19,0,1.0,1.0,2.0,-2.0,-1.0,0.0
2,4,A1VUSW8L7VUX2O,20,10,-2,1007,3,1,3,2,329,347,330,-2,1,5,1,1,329,330,347,347,330.0,329,17.0,1.0,18,-1,-17,-18,1.0,3.0,2.0,2.0,3.0,1.0,6,CMP,18,17,0,1.0,1.0,2.0,-2.0,-1.0,0.0
3,5,A1VUSW8L7VUX2O,20,10,-2,1007,3,3,1,2,269,378,359,-2,2,6,1,3,359,269,378,378,359.0,269,19.0,90.0,109,90,-109,-19,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,19,109,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
4,6,A1VUSW8L7VUX2O,20,10,-2,1007,3,3,1,2,325,341,340,9,3,7,1,1,340,325,341,341,340.0,325,1.0,15.0,16,15,-16,-1,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,1,16,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
5,7,A1VUSW8L7VUX2O,20,10,-2,1007,3,3,1,2,318,353,335,-2,1,8,1,2,335,318,353,353,335.0,318,18.0,17.0,35,17,-35,-18,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,18,35,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
6,8,A1VUSW8L7VUX2O,20,10,-2,1007,3,2,3,1,301,371,334,20,2,9,1,1,371,334,301,371,334.0,301,37.0,33.0,70,37,33,70,3.0,1.0,2.0,2.0,1.0,3.0,1,TRT,0,37,70,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
7,9,A1VUSW8L7VUX2O,20,10,-2,1007,3,2,1,3,290,409,307,20,1,10,1,2,409,290,307,409,307.0,290,102.0,17.0,119,119,-17,102,2.0,1.0,3.0,3.0,1.0,2.0,2,TRT,0,119,102,-2.0,1.0,-1.0,0.0,-2.0,-1.0
8,10,A1VUSW8L7VUX2O,20,10,-2,1007,3,1,2,3,318,353,335,10,2,11,1,2,318,353,335,353,335.0,318,18.0,17.0,35,-35,18,-17,2.0,2.0,1.0,3.0,3.0,1.0,5,CMPLB,35,0,18,2.0,-1.0,1.0,-2.0,0.0,-1.0
9,11,A1VUSW8L7VUX2O,20,10,-2,1007,3,2,1,3,313,365,328,20,2,12,1,1,365,313,328,365,328.0,313,37.0,15.0,52,52,-15,37,2.0,1.0,3.0,3.0,1.0,2.0,2,TRT,0,52,37,-2.0,1.0,-1.0,0.0,-2.0,-1.0
