,VoterID,Util1,Util2,Util3,Util4,NumVotes,NumberOfCandidates,Pref1,Pref2,Pref3,Pref4,VotesCand1PreVote,VotesCand2PreVote,RoundIndex,VotesCand3PreVote,VotesCand4PreVote,PointsPreVote,Vote,GameIndexInSession,SessionIDX,Action,VotesPref1PreVote,VotesPref2PreVote,VotesPref3PreVote,VotesPref4PreVote,VotesLeader_poll,VotesRunnerup_poll,VotesThird_poll,GAP12_poll,GAP23_poll,GAP13_poll,GAP12_pref_poll,GAP23_pref_poll,GAP13_pref_poll,VotesFourth_poll,GAP14_poll,GAP24_poll,GAP34_poll,GAP14_pref_poll,GAP24_pref_poll,GAP34_pref_poll,Pref1_pos,Pos1_pref,Pref3_pos,Pos2_pref,Pref4_pos,Pos3_pref,Pref2_pos,Pos4_pref,Scenario,Scenario_type,GAPL1_Pref_poll,GAPL2_Pref_poll,GAPL3_Pref_poll,GAPL4_Pref_poll,Pos12,Pos23,Pos13,Pos14,Pos24,Pos34,PosL1,PosL2,PosL3,PosL4
0,A272X64FOZFYLB,15,10,5,0,1007,4,2,4,3,1,169,481,0,192,164,15,2,1,1,1,481,164,192,169,481,192.0,169,289.0,23.0,312,317,-28,289,164,317,28.0,5,312,-5,23,1.0,1.0,2.0,3.0,3.0,4.0,4.0,2.0,4,TRT,0,317,289,312,-3.0,2.0,-1.0,-2.0,1.0,-1.0,0.0,-3.0,-1.0,-2.0
1,A272X64FOZFYLB,15,10,5,0,1007,4,3,2,4,1,216,329,1,246,215,10,2,2,1,2,246,329,215,216,329,246.0,216,83.0,30.0,113,-83,114,31,215,114,31.0,1,30,113,-1,2.0,2.0,4.0,1.0,3.0,4.0,1.0,3.0,8,WLB,83,0,114,113,1.0,-3.0,-2.0,-1.0,-2.0,1.0,-1.0,0.0,-3.0,-2.0
2,A272X64FOZFYLB,15,10,5,0,1005,4,3,1,4,2,244,272,2,245,243,0,3,3,1,1,245,244,243,272,272,245.0,244,27.0,1.0,28,1,1,2,243,29,2.0,1,-27,-28,-29,2.0,4.0,4.0,1.0,1.0,2.0,3.0,3.0,19,SLB,27,28,29,0,-1.0,-1.0,-2.0,1.0,2.0,3.0,-1.0,-2.0,-3.0,0.0
3,A272X64FOZFYLB,15,10,5,0,1007,4,4,3,1,2,236,322,3,242,206,0,3,4,1,2,206,242,236,322,322,242.0,236,80.0,6.0,86,-36,6,-30,206,116,36.0,30,-116,-80,-86,4.0,4.0,3.0,2.0,1.0,3.0,2.0,1.0,22,CMP,116,80,86,0,2.0,-1.0,1.0,3.0,1.0,2.0,-3.0,-1.0,-2.0,0.0
4,A272X64FOZFYLB,15,10,5,0,1007,4,3,2,1,4,217,330,4,248,211,10,2,5,1,2,248,330,217,211,330,248.0,217,82.0,31.0,113,-82,113,31,211,119,37.0,6,37,119,6,2.0,2.0,3.0,1.0,4.0,3.0,1.0,4.0,7,WLB,82,0,113,119,1.0,-2.0,-1.0,-2.0,-3.0,-1.0,-1.0,0.0,-2.0,-3.0
5,A272X64FOZFYLB,15,10,5,0,1006,4,2,1,3,4,238,319,5,239,209,15,2,6,1,1,319,238,239,209,319,239.0,238,80.0,1.0,81,81,-1,80,209,110,30.0,29,110,29,30,1.0,1.0,2.0,3.0,4.0,2.0,3.0,4.0,3,TRT,0,81,80,110,-2.0,1.0,-1.0,-3.0,-1.0,-2.0,0.0,-2.0,-1.0,-3.0
6,A272X64FOZFYLB,15,10,5,0,1007,4,4,2,1,3,255,265,6,262,224,10,2,7,1,2,224,265,255,262,265,262.0,255,3.0,7.0,10,-41,10,-31,224,41,38.0,31,-38,3,-7,4.0,2.0,3.0,4.0,2.0,3.0,1.0,1.0,12,WLB,41,0,10,3,3.0,-2.0,1.0,2.0,-1.0,1.0,-3.0,0.0,-2.0,-1.0
7,A272X64FOZFYLB,15,10,5,0,1007,4,3,4,1,2,243,277,7,249,237,0,3,8,1,1,249,237,243,277,277,249.0,243,28.0,6.0,34,12,-6,6,237,40,12.0,6,-28,-40,-34,2.0,4.0,3.0,1.0,1.0,3.0,4.0,2.0,20,SLB,28,40,34,0,-2.0,1.0,-1.0,1.0,3.0,2.0,-1.0,-3.0,-2.0,0.0
8,A272X64FOZFYLB,15,10,5,0,1007,4,4,1,3,2,247,266,8,253,240,0,3,9,1,3,240,247,253,266,266,253.0,247,13.0,6.0,19,-7,-6,-13,240,26,13.0,7,-26,-19,-13,4.0,4.0,2.0,3.0,1.0,2.0,3.0,1.0,24,SCMP,26,19,13,0,1.0,1.0,2.0,3.0,2.0,1.0,-3.0,-2.0,-1.0,0.0
9,A272X64FOZFYLB,15,10,5,0,1007,4,3,1,4,2,216,329,9,246,215,0,2,10,1,4,246,216,215,329,329,246.0,216,83.0,30.0,113,30,1,31,215,114,31.0,1,-83,-113,-114,2.0,4.0,4.0,1.0,1.0,2.0,3.0,3.0,19,SLB,83,113,114,0,-1.0,-1.0,-2.0,1.0,2.0,3.0,-1.0,-2.0,-3.0,0.0
