,RoundIndex,VoterID,Util1,Util2,Util3,NumberOfCandidates,NumVotes,Pref1,Pref2,Pref3,VotesCand1PreVote,VotesCand2PreVote,VotesCand3PreVote,PointsPreVote,Vote,GameIndexInSession,SessionIDX,Action,VotesPref1PreVote,VotesPref2PreVote,VotesPref3PreVote,VotesLeader_poll,VotesRunnerup_poll,VotesThird_poll,GAP12_poll,GAP23_poll,GAP13_poll,GAP12_pref_poll,GAP23_pref_poll,GAP13_pref_poll,Pref3_pos,Pos1_pref,Pref1_pos,Pos2_pref,Pref2_pos,Pos3_pref,Scenario,Scenario_type,GAPL1_Pref_poll,GAPL2_Pref_poll,GAPL3_Pref_poll,Pos12,Pos23,Pos13,PosL1,PosL2,PosL3
0,5890,A1PKCBFB4QY19G,20,16,0,3,1007,3,1,2,274,368,364,0,3,29,1,1,364,274,368,368,364.0,274,4.0,90.0,94,90,-94,-4,1.0,3.0,2.0,1.0,3.0,2.0,4,SLB,4,94,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
1,5891,A1IN92CQSAJE9Z,20,4,0,3,1007,3,1,2,269,378,359,0,3,20,1,1,359,269,378,378,359.0,269,19.0,90.0,109,90,-109,-19,1.0,3.0,2.0,1.0,3.0,2.0,4,SLB,19,109,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
2,5892,A1IN92CQSAJE9Z,20,4,0,3,1007,1,2,3,290,409,307,4,1,21,1,1,290,409,307,409,307.0,290,102.0,17.0,119,-119,102,-17,2.0,2.0,3.0,3.0,1.0,1.0,5,CMPLB,119,0,102,2.0,-1.0,1.0,-2.0,0.0,-1.0
3,5893,A1IN92CQSAJE9Z,20,4,0,3,1007,2,1,3,313,365,328,20,2,22,1,1,365,313,328,365,328.0,313,37.0,15.0,52,52,-15,37,2.0,1.0,1.0,3.0,3.0,2.0,2,TRT,0,52,37,-2.0,1.0,-1.0,0.0,-2.0,-1.0
4,5894,A1IN92CQSAJE9Z,20,4,0,3,1007,3,1,2,329,347,330,0,3,23,1,1,330,329,347,347,330.0,329,17.0,1.0,18,1,-18,-17,1.0,3.0,2.0,1.0,3.0,2.0,4,SLB,17,18,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
5,5895,A1IN92CQSAJE9Z,20,4,0,3,1007,1,3,2,325,341,340,0,1,24,1,1,325,340,341,341,340.0,325,1.0,15.0,16,-15,-1,-16,1.0,3.0,3.0,2.0,2.0,1.0,6,CMP,16,1,0,1.0,1.0,2.0,-2.0,-1.0,0.0
6,5896,A1IN92CQSAJE9Z,20,4,0,3,1007,1,2,3,323,343,340,4,1,25,1,1,323,343,340,343,340.0,323,3.0,17.0,20,-20,3,-17,2.0,2.0,3.0,3.0,1.0,1.0,5,CMPLB,20,0,3,2.0,-1.0,1.0,-2.0,0.0,-1.0
7,5897,A1IN92CQSAJE9Z,20,4,0,3,1007,3,1,2,274,368,364,0,3,26,1,1,364,274,368,368,364.0,274,4.0,90.0,94,90,-94,-4,1.0,3.0,2.0,1.0,3.0,2.0,4,SLB,4,94,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
8,5898,A1IN92CQSAJE9Z,20,4,0,3,1007,1,3,2,329,347,330,0,1,27,1,1,329,330,347,347,330.0,329,17.0,1.0,18,-1,-17,-18,1.0,3.0,3.0,2.0,2.0,1.0,6,CMP,18,17,0,1.0,1.0,2.0,-2.0,-1.0,0.0
9,5899,A1IN92CQSAJE9Z,20,4,0,3,1007,3,2,1,318,353,335,4,3,28,1,1,335,353,318,353,335.0,318,18.0,17.0,35,-18,35,17,3.0,2.0,2.0,1.0,1.0,3.0,3,WLB,18,0,35,1.0,-2.0,-1.0,-1.0,0.0,-2.0
