,NumberOfCandidates,Util1,Util2,Util3,NumVotes,GameIndexInSession,SessionIDX,VoterID,Pref1,Pref2,Pref3,Action,VotesCand1PreVote,VotesCand2PreVote,VotesCand3PreVote,RoundIndex,Vote,VotesPref1PreVote,VotesPref2PreVote,VotesPref3PreVote,VotesLeader_poll,VotesRunnerup_poll,VotesThird_poll,GAP12_poll,GAP23_poll,GAP13_poll,GAP12_pref_poll,GAP23_pref_poll,GAP13_pref_poll,Pref1_pos,Pos1_pref,Pref2_pos,Pos2_pref,Pref3_pos,Pos3_pref,Scenario,Scenario_type,GAPL1_Pref_poll,GAPL2_Pref_poll,GAPL3_Pref_poll,Pos12,Pos23,Pos13,PosL1,PosL2,PosL3
0,3,20,10,0,103,15,1,KNS6Tu,1,2,3,1,34,34,34,1,1,34,34,34,34,34.0,34,0.0,0.0,0,0,0,0,1.0,1.0,2.0,2.0,3.0,3.0,1,TRT,0,0,0,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
1,3,20,10,0,103,16,1,KNS6Tu,1,2,3,1,35,34,33,2,1,35,34,33,35,34.0,33,1.0,1.0,2,1,1,2,1.0,1.0,2.0,2.0,3.0,3.0,1,TRT,0,1,2,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
2,3,20,10,0,103,17,1,KNS6Tu,1,3,2,1,35,34,33,3,1,35,33,34,35,34.0,33,1.0,1.0,2,2,-1,1,1.0,1.0,3.0,3.0,2.0,2.0,2,TRT,0,2,1,-2.0,1.0,-1.0,0.0,-2.0,-1.0
3,3,20,10,0,103,18,1,KNS6Tu,3,1,2,1,36,34,32,4,2,32,36,34,36,34.0,32,2.0,2.0,4,-4,2,-2,3.0,2.0,1.0,3.0,2.0,1.0,5,CMPLB,4,0,2,2.0,-1.0,1.0,-2.0,0.0,-1.0
4,3,20,10,0,103,19,1,KNS6Tu,2,3,1,1,35,33,34,5,3,33,34,35,35,34.0,33,1.0,1.0,2,-1,-1,-2,3.0,3.0,2.0,2.0,1.0,1.0,6,CMP,2,1,0,1.0,1.0,2.0,-2.0,-1.0,0.0
5,3,20,10,0,103,0,1,9CmLdA,3,2,1,2,36,34,32,6,2,32,34,36,36,34.0,32,2.0,2.0,4,-2,-2,-4,3.0,3.0,2.0,2.0,1.0,1.0,6,CMP,4,2,0,1.0,1.0,2.0,-2.0,-1.0,0.0
6,3,20,10,0,103,1,1,9CmLdA,3,1,2,3,38,35,29,7,1,29,38,35,38,35.0,29,3.0,6.0,9,-9,3,-6,3.0,2.0,1.0,3.0,2.0,1.0,5,CMPLB,9,0,3,2.0,-1.0,1.0,-2.0,0.0,-1.0
7,3,20,10,0,103,2,1,9CmLdA,3,1,2,1,37,34,31,8,2,31,37,34,37,34.0,31,3.0,3.0,6,-6,3,-3,3.0,2.0,1.0,3.0,2.0,1.0,5,CMPLB,6,0,3,2.0,-1.0,1.0,-2.0,0.0,-1.0
8,3,20,10,0,103,3,1,9CmLdA,1,2,3,2,36,34,32,9,2,36,34,32,36,34.0,32,2.0,2.0,4,2,2,4,1.0,1.0,2.0,2.0,3.0,3.0,1,TRT,0,2,4,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
9,3,20,10,0,103,6,1,GdSUrg,1,3,2,1,36,35,31,10,1,36,31,35,36,35.0,31,1.0,4.0,5,5,-4,1,1.0,1.0,3.0,3.0,2.0,2.0,2,TRT,0,5,1,-2.0,1.0,-1.0,0.0,-2.0,-1.0
10,3,20,10,0,103,4,1,9CmLdA,1,3,2,1,36,35,31,11,1,36,31,35,36,35.0,31,1.0,4.0,5,5,-4,1,1.0,1.0,3.0,3.0,2.0,2.0,2,TRT,0,5,1,-2.0,1.0,-1.0,0.0,-2.0,-1.0
11,3,20,10,0,103,5,1,9CmLdA,3,2,1,3,37,35,30,12,1,30,35,37,37,35.0,30,2.0,5.0,7,-5,-2,-7,3.0,3.0,2.0,2.0,1.0,1.0,6,CMP,7,2,0,1.0,1.0,2.0,-2.0,-1.0,0.0
12,3,20,10,0,103,6,1,9CmLdA,1,2,3,1,37,35,30,13,1,37,35,30,37,35.0,30,2.0,5.0,7,2,5,7,1.0,1.0,2.0,2.0,3.0,3.0,1,TRT,0,2,7,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
13,3,20,10,0,103,7,1,9CmLdA,1,3,2,1,35,34,33,14,1,35,33,34,35,34.0,33,1.0,1.0,2,2,-1,1,1.0,1.0,3.0,3.0,2.0,2.0,2,TRT,0,2,1,-2.0,1.0,-1.0,0.0,-2.0,-1.0
14,3,20,10,0,103,8,1,9CmLdA,2,1,3,1,36,34,32,15,2,34,36,32,36,34.0,32,2.0,2.0,4,-2,4,2,2.0,2.0,1.0,1.0,3.0,3.0,3,WLB,2,0,4,1.0,-2.0,-1.0,-1.0,0.0,-2.0
15,3,20,10,0,103,9,1,9CmLdA,1,2,3,1,34,34,34,16,1,34,34,34,34,34.0,34,0.0,0.0,0,0,0,0,1.0,1.0,2.0,2.0,3.0,3.0,1,TRT,0,0,0,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
16,3,20,10,0,103,10,1,9CmLdA,3,1,2,1,36,34,32,17,2,32,36,34,36,34.0,32,2.0,2.0,4,-4,2,-2,3.0,2.0,1.0,3.0,2.0,1.0,5,CMPLB,4,0,2,2.0,-1.0,1.0,-2.0,0.0,-1.0
17,3,20,10,0,103,11,1,9CmLdA,2,1,3,1,36,33,33,18,2,33,36,33,36,33.0,33,3.0,0.0,3,-3,3,0,2.0,2.0,1.0,1.0,3.0,3.0,3,WLB,3,0,3,1.0,-2.0,-1.0,-1.0,0.0,-2.0
18,3,20,10,0,103,12,1,9CmLdA,2,3,1,1,35,33,34,19,3,33,34,35,35,34.0,33,1.0,1.0,2,-1,-1,-2,3.0,3.0,2.0,2.0,1.0,1.0,6,CMP,2,1,0,1.0,1.0,2.0,-2.0,-1.0,0.0
19,3,20,10,0,103,13,1,9CmLdA,3,1,2,1,35,34,33,20,2,33,35,34,35,34.0,33,1.0,1.0,2,-2,1,-1,3.0,2.0,1.0,3.0,2.0,1.0,5,CMPLB,2,0,1,2.0,-1.0,1.0,-2.0,0.0,-1.0
20,3,20,10,0,103,7,1,GdSUrg,3,1,2,1,36,34,32,21,2,32,36,34,36,34.0,32,2.0,2.0,4,-4,2,-2,3.0,2.0,1.0,3.0,2.0,1.0,5,CMPLB,4,0,2,2.0,-1.0,1.0,-2.0,0.0,-1.0
21,3,20,10,0,103,14,1,9CmLdA,3,2,1,1,36,35,31,22,3,31,35,36,36,35.0,31,1.0,4.0,5,-4,-1,-5,3.0,3.0,2.0,2.0,1.0,1.0,6,CMP,5,1,0,1.0,1.0,2.0,-2.0,-1.0,0.0
22,3,20,10,0,103,15,1,9CmLdA,1,3,2,1,35,34,33,23,1,35,33,34,35,34.0,33,1.0,1.0,2,2,-1,1,1.0,1.0,3.0,3.0,2.0,2.0,2,TRT,0,2,1,-2.0,1.0,-1.0,0.0,-2.0,-1.0
23,3,20,10,0,103,0,1,AjrH44,3,1,2,2,37,34,31,24,3,31,37,34,37,34.0,31,3.0,3.0,6,-6,3,-3,3.0,2.0,1.0,3.0,2.0,1.0,5,CMPLB,6,0,3,2.0,-1.0,1.0,-2.0,0.0,-1.0
24,3,20,10,0,103,16,1,9CmLdA,3,2,1,1,36,34,32,25,3,32,34,36,36,34.0,32,2.0,2.0,4,-2,-2,-4,3.0,3.0,2.0,2.0,1.0,1.0,6,CMP,4,2,0,1.0,1.0,2.0,-2.0,-1.0,0.0
