,RoundIndex,Action,Pref1,Pref2,Pref3,Scenario,Util1,Util2,Util3,NumberOfCandidates,VoterID,VotesCand1PreVote,VotesCand2PreVote,VotesCand3PreVote,SessionIDX,Vote,VotesPref1PreVote,VotesPref2PreVote,VotesPref3PreVote,VotesLeader_poll,VotesRunnerup_poll,VotesThird_poll,GAP12_poll,GAP23_poll,GAP13_poll,GAP12_pref_poll,GAP23_pref_poll,GAP13_pref_poll,Pref1_pos,Pos1_pref,Pref3_pos,Pos2_pref,Pref2_pos,Pos3_pref,Scenario_type,GAPL1_Pref_poll,GAPL2_Pref_poll,GAPL3_Pref_poll,Pos12,Pos23,Pos13,PosL1,PosL2,PosL3
0,0,1,2,3,1,2,10,3,1,3,1_session_10.csv,4,7,1,1,2,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
1,1,1,1,2,3,3,10,3,1,3,2_session_10.csv,4,7,1,1,1,4,7,1,7,4.0,1,3.0,3.0,6,-3,6,3,2.0,2.0,3.0,1.0,1.0,3.0,WLB,3,0,6,1.0,-2.0,-1.0,-1.0,0.0,-2.0
2,2,1,2,3,1,2,10,3,1,3,3_session_10.csv,4,7,1,1,2,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
3,3,1,1,2,3,3,10,3,1,3,4_session_10.csv,4,7,1,1,1,4,7,1,7,4.0,1,3.0,3.0,6,-3,6,3,2.0,2.0,3.0,1.0,1.0,3.0,WLB,3,0,6,1.0,-2.0,-1.0,-1.0,0.0,-2.0
4,4,1,3,1,2,6,10,3,1,3,5_session_10.csv,4,7,1,1,3,1,4,7,7,4.0,1,3.0,3.0,6,-3,-3,-6,3.0,3.0,1.0,2.0,2.0,1.0,CMP,6,3,0,1.0,1.0,2.0,-2.0,-1.0,0.0
5,5,1,1,2,3,3,10,3,1,3,6_session_10.csv,4,7,1,1,1,4,7,1,7,4.0,1,3.0,3.0,6,-3,6,3,2.0,2.0,3.0,1.0,1.0,3.0,WLB,3,0,6,1.0,-2.0,-1.0,-1.0,0.0,-2.0
6,6,1,2,3,1,2,10,3,1,3,7_session_10.csv,4,7,1,1,2,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
7,7,1,2,3,1,2,10,3,1,3,8_session_10.csv,4,7,1,1,2,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
8,8,1,2,3,1,2,10,3,1,3,9_session_10.csv,4,7,1,1,2,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
9,9,1,1,2,3,3,10,3,1,3,10_session_10.csv,4,7,1,1,1,4,7,1,7,4.0,1,3.0,3.0,6,-3,6,3,2.0,2.0,3.0,1.0,1.0,3.0,WLB,3,0,6,1.0,-2.0,-1.0,-1.0,0.0,-2.0
10,10,1,2,3,1,2,10,3,1,3,11_session_10.csv,4,7,1,1,2,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
11,11,1,2,3,1,2,10,3,1,3,12_session_10.csv,4,7,1,1,2,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
12,12,1,2,3,1,2,10,3,1,3,13_session_10.csv,4,7,1,1,2,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
13,13,1,1,2,3,3,10,3,1,3,14_session_10.csv,4,7,1,1,1,4,7,1,7,4.0,1,3.0,3.0,6,-3,6,3,2.0,2.0,3.0,1.0,1.0,3.0,WLB,3,0,6,1.0,-2.0,-1.0,-1.0,0.0,-2.0
14,14,1,2,3,1,2,10,3,1,3,15_session_10.csv,4,7,1,1,2,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
15,15,2,1,2,3,3,10,3,1,3,16_session_10.csv,4,7,1,1,2,4,7,1,7,4.0,1,3.0,3.0,6,-3,6,3,2.0,2.0,3.0,1.0,1.0,3.0,WLB,3,0,6,1.0,-2.0,-1.0,-1.0,0.0,-2.0
16,16,1,3,1,2,6,10,3,1,3,17_session_10.csv,4,7,1,1,3,1,4,7,7,4.0,1,3.0,3.0,6,-3,-3,-6,3.0,3.0,1.0,2.0,2.0,1.0,CMP,6,3,0,1.0,1.0,2.0,-2.0,-1.0,0.0
17,17,2,1,2,3,3,10,3,1,3,18_session_10.csv,4,7,1,1,2,4,7,1,7,4.0,1,3.0,3.0,6,-3,6,3,2.0,2.0,3.0,1.0,1.0,3.0,WLB,3,0,6,1.0,-2.0,-1.0,-1.0,0.0,-2.0
